CAMPUS;CURSO/TURNO/INTEGRADO;Turno;Código;VAGAS 2024.1;INSCRITOS 2024.1;VAGAS 2023.1;INSCRITOS 2023.1;VAGAS 2022.2;INSCRITOS;VAGAS 2022.1;INSCRITOS;VAGAS 2020.1;VAGAS 2019.1;VAGAS 2018.1;VAGAS 2017.1;VAGAS 2016.1;VAGAS 2015.1;ISENTOS 2020.1;ISENTOS 2019.1;ISENTOS 2018.1;ISENTOS 2017.1;ISENTOS 2016.1;ISENTOS 2015.1;PAGOS 2020.1;PAGOS 2019.1;PAGOS 2018.1;PAGOS 2017.1;PAGOS 2016.1;PAGOS 2015.1;REMANESCENTES 2020.1;REMANESCENTES 2019.1;REMANESCENTES 2018.1;REMANESCENTES 2017.1;REMANESCENTES 2016.1;REMANESCENTES 2015.1;TOTAL 2020.1;TOTAL 2019.1;TOTAL 2018.1;TOTAL 2017.1;TOTAL 2016.1;TOTAL 2015.1
CAMPUS MARECHAL DEODORO;Guia de Turismo ;Vespertino;1020412;36;71;36;201;;;36;240;108;100;30;100;80;20;286;149;108;101;24;2;85;76;54;117;99;43;---;---;---;---;---;---;371;225;162;218;123;45
CAMPUS MARECHAL DEODORO;Guia de Turismo ;Matutino;1020411;36;109;0;0;;;0;0;0;0;0;100;40;32;0;0;0;67;20;3;---;---;---;203;88;99;---;---;---;---;---;---;---;---;0;270;108;102
CAMPUS MARECHAL DEODORO;Meio Ambiente ;Vespertino;1020112;36;25;0;0;;;0;0;0;0;0;0;80;20;0;0;0;0;23;0;---;---;---;---;106;64;---;---;---;---;---;---;---;---;0;0;129;64
CAMPUS MARECHAL DEODORO;Meio Ambiente;Matutino;1020111;36;67;36;246;;;36;270;108;100;30;0;40;64;292;143;105;0;12;2;134;110;72;---;145;195;---;---;---;---;---;---;426;253;177;0;157;197
CAMPUS MARECHAL DEODORO;Desenvolvimento de Sistemas;Vespertino;1020612;36;47;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS MARECHAL DEODORO;Desenvolvimento de Sistemas;Matutino;1020611;36;99;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS MARECHAL DEODORO;Instrumentos Musicais;Matutino;1021011;36;25;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS MARECHAL DEODORO;Hospedagem ;Noturno;1020513;36;0;0;0;;;36;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
CAMPUS MARECHAL DEODORO;Cozinha;Noturno;1020913;36;0;80;32;;;36;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
CAMPUS MURICI;Agroindústria;Vespertino;1070912;36;59;36;76;;;36;74;72;64;32;24;40;32;106;79;74;29;53;0;47;49;34;54;190;81;---;---;---;---;---;---;153;128;108;83;243;81
CAMPUS MURICI;Agroindústria;Matutino;1070911;36;118;36;217;;;36;228;36;32;32;32;---;32;129;103;127;59;---;1;55;53;52;141;---;189;---;---;---;---;---;---;184;156;179;200;0;190
CAMPUS MURICI;Agroecologia ;Vespertino;1071212;72;95;36;43;;;36;27;36;32;32;24;40;32;34;99;57;16;22;0;7;31;31;46;111;40;---;---;---;---;---;---;41;130;88;62;133;40
CAMPUS MURICI;Agroecologia ;Matutino;1071211;36;39;36;95;;;36;102;72;64;32;32;---;32;135;158;67;43;---;0;51;61;49;83;---;87;---;---;---;---;---;---;186;219;116;126;0;87
