co_mun,no_mun,ano,variavel,economia_categoria,economia_subcategoria,valor
2700102,Água Branca,2016.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,110209.0
2700102,Água Branca,2016.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,121246.0
2700102,Água Branca,2017.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,136648.0
2700102,Água Branca,2017.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,10377.0
2700102,Água Branca,2017.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,5038.0
2700102,Água Branca,2017.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,116776.0
2700102,Água Branca,2017.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,132190.0
2700102,Água Branca,2018.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,141121.0
2700102,Água Branca,2018.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,9541.0
2700102,Água Branca,2018.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,6406.0
2700102,Água Branca,2018.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,120140.0
2700102,Água Branca,2018.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,136086.0
2700102,Água Branca,2019.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,159756.0
2700102,Água Branca,2019.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,17819.0
2700102,Água Branca,2019.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,8448.0
2700102,Água Branca,2019.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,127854.0
2700102,Água Branca,2019.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,154122.0
2700102,Água Branca,2020.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,166359.0
2700102,Água Branca,2020.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,16892.0
2700102,Água Branca,2020.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,7356.0
2700102,Água Branca,2020.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,136703.0
