co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4213
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4278
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4251
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4233
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4265
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4307
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4276
2700102,Água Branca,2019,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4212
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,14467
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,14666
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,14550
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,14679
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,14603
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,14587
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,14566
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,14533
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,14694
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,14505
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,14436
2700102,Água Branca,2019,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,14327
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4279
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4320
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4300
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4243
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4354
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4301
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4301
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4292
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4272
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4282
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4369
2700102,Água Branca,2020,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4330
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,14347
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,14399
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,14234
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,14272
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,14597
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,14371
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,14369
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,14355
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,14342
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,14196
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,14437
2700102,Água Branca,2020,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,14383
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4459
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4545
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4684
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4354
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4320
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4529
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4518
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4494
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4383
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4654
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4578
2700102,Água Branca,2021,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4561
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,14608
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,14785
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,15041
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,14351
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,14273
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,14763
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,14738
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,14686
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,14404
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,14990
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,14833
2700102,Água Branca,2021,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,14819
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4804
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4976
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,5102
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4734
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4699
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4922
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4885
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4847
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4764
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,5096
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,5065
2700102,Água Branca,2022,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,5024
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,15102
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,15170
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,15240
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,15106
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,15062
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,15122
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,15122
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,15104
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,15150
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,15247
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,15230
2700102,Água Branca,2022,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,15229
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,5056
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,5124
