_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
112,2701.0,Alto Sertão,2011,Matrícula,Municipal,Educação Profissional,0.0
113,2701.0,Alto Sertão,2011,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),9226.0
114,2701.0,Alto Sertão,2011,Matrícula,Municipal,Ensino Fundamental,31811.0
115,2701.0,Alto Sertão,2011,Matrícula,Municipal,Ensino Médio,0.0
116,2701.0,Alto Sertão,2011,Matrícula,Privada,Educação Infantil,196.0
117,2701.0,Alto Sertão,2011,Matrícula,Privada,Educação Profissional,0.0
118,2701.0,Alto Sertão,2011,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
119,2701.0,Alto Sertão,2011,Matrícula,Privada,Ensino Fundamental,1371.0
120,2701.0,Alto Sertão,2011,Matrícula,Privada,Ensino Médio,337.0
121,2701.0,Alto Sertão,2011,Matrícula,Pública,Educação Infantil,6200.0
122,2701.0,Alto Sertão,2011,Matrícula,Pública,Educação Profissional,921.0
123,2701.0,Alto Sertão,2011,Matrícula,Pública,Educação de Jovens e Adultos (EJA),10666.0
124,2701.0,Alto Sertão,2011,Matrícula,Pública,Ensino Fundamental,37385.0
125,2701.0,Alto Sertão,2011,Matrícula,Pública,Ensino Médio,6640.0
126,2701.0,Alto Sertão,2011,Matrícula,Total,Educação Infantil,6396.0
127,2701.0,Alto Sertão,2011,Matrícula,Total,Educação Profissional,921.0
128,2701.0,Alto Sertão,2011,Matrícula,Total,Educação de Jovens e Adultos (EJA),10666.0
129,2701.0,Alto Sertão,2011,Matrícula,Total,Ensino Fundamental,38756.0
130,2701.0,Alto Sertão,2011,Matrícula,Total,Ensino Médio,6977.0
131,2701.0,Alto Sertão,2012,Matrícula,Estadual,Educação Infantil,74.0
132,2701.0,Alto Sertão,2012,Matrícula,Estadual,Educação Profissional,377.0
133,2701.0,Alto Sertão,2012,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1509.0
134,2701.0,Alto Sertão,2012,Matrícula,Estadual,Ensino Fundamental,4519.0
